item;session;topright_image;topleft_image;bottomright_image;bottomleft_image;audiofile;condition
77;2;images/distarget_37.png;images/competitor_37.png;images/discomp_37.png;images/target_37.png;sounds/nested_short_37.wav;nested_short
125;2;images/target_5.png;images/discomp_5.png;images/competitor_5.png;images/distarget_5.png;sounds/linear_short_5.wav;linear_short
236;2;images/tar_f76.png;images/dtar_f76.png;images/comp_f76.png;images/dcomp_f76.png;sounds/filler_76.wav;filler
146;2;images/discomp_26.png;images/target_26.png;images/distarget_26.png;images/competitor_26.png;sounds/linear_short_26.wav;linear_short
178;2;images/tar_f18.png;images/dtar_f18.png;images/comp_f18.png;images/dcomp_f18.png;sounds/filler_18.wav;filler
71;2;images/target_31.png;images/competitor_31.png;images/discomp_31.png;images/distarget_31.png;sounds/nested_short_31.wav;nested_short
162;2;images/tar_f2.png;images/dtar_f2.png;images/comp_f2.png;images/dcomp_f2.png;sounds/filler_2.wav;filler
209;2;images/tar_f49.png;images/dtar_f49.png;images/comp_f49.png;images/dcomp_f49.png;sounds/filler_49.wav;filler
105;2;images/target_25.png;images/competitor_25.png;images/distarget_25.png;images/discomp_25.png;sounds/linear_long_25.wav;linear_long
204;2;images/tar_f44.png;images/dtar_f44.png;images/comp_f44.png;images/dcomp_f44.png;sounds/filler_44.wav;filler
142;2;images/competitor_22.png;images/distarget_22.png;images/discomp_22.png;images/target_22.png;sounds/linear_short_22.wav;linear_short
21;2;images/distarget_21.png;images/discomp_21.png;images/target_21.png;images/competitor_21.png;sounds/nested_long_21.wav;nested_long
51;2;images/distarget_11.png;images/competitor_11.png;images/discomp_11.png;images/target_11.png;sounds/nested_short_11.wav;nested_short
190;2;images/tar_f30.png;images/dtar_f30.png;images/comp_f30.png;images/dcomp_f30.png;sounds/filler_30.wav;filler
23;2;images/distarget_23.png;images/competitor_23.png;images/target_23.png;images/discomp_23.png;sounds/nested_long_23.wav;nested_long
223;2;images/tar_f63.png;images/dtar_f63.png;images/comp_f63.png;images/dcomp_f63.png;sounds/filler_63.wav;filler
14;2;images/distarget_14.png;images/discomp_14.png;images/competitor_14.png;images/target_14.png;sounds/nested_long_14.wav;nested_long
